"Q9UKE5"	"2X7F A/B/C/D/E=1-325"
"P30101"	"2ALB A=25-137"
"O43521"	"1F95 C/D=108-116"
"Q00653"	"1A3Q A/B=37-327"
"P61006"	"3QBT A/C/E/G=6-176"
"P04629"	"1HE7 A=285-413"
"Q8TEK3"	"1NW3 A=1-416"
"P08047"	"1SP1 A=684-712"
"P19174"	"1HSQ A=790-852"
"P10589"	"2EBL A=84-159"
"Q96RI1"	"1OSH A=258-476"
"Q96BH1"	"2DAY A=11-125"
"Q9UGL1"	"2MA5 A=1487-1544"
"Q5FBB7"	"3FGA D=51-96"
"P26368"	"1JMT B=85-112"
"P04489"	"4DJB A/B=1-116"
"Q06609"	"1B22 A=1-114"
"Q9R8E4"	"3GCG B=37-203"
"P23193"	"1TFI A=252-301"
"Q13085"	"2YL2 A/B=78-617"
"Q96AE4"	"1J4W A=278-447"
"P63027"	"3FIE C/D=22-57"
"P40225"	"1V7M V/X=22-184"
"P62314"	"1B34 A=1-119"
"Q13322"	"1NRV A/B=487-591"
"P43403"	"1FBV B=289-297"
"Q63155"	"3LAF A=39-421"
"Q9NUX5"	"1XJV A=6-299"
"Q9Y239"	"2B1W A=15-138"
"P20263"	"1OCP A=217-282"
"Q13557"	"2VN9 A/B=11-309"
"Q16539"	"1A9U A=1-360"
"Q00534"	"1BI7 A=1-326"
"P25445"	"1BZI A=1-335"
"P35222"	"1G3J A/C=133-664"
"P00813"	"1M7M A=1-363"
"P32871"	"2V1Y A=1-108"
"Q99459"	"2DIM A=7-63"
"O43159"	"2ZFU A/B=242-456"
"P23443"	"3A60 A/B=75-399"
"P17676"	"1GTW A/B=259-336"
"P29972"	"1FQY A=1-269"
"Q9UBL3"	"3RSN A=96-271"
"P60568"	"1ILM 2=26-153"
"O60885-1"	"2I8N A=352-457"
"Q15788"	"1FM6 B/E/V/Y=676-700"
"Q658P3-1"	"2VNS A/B=1-215"
"O15514"	"2C35 A/C/E/G=1-142"
"Q9Y6N7"	"2EO9 A=454-564"
"Q9NRW3"	"3VM8 A/B=1-190"
"Q13185"	"2L11 A=29-81"
"P07900"	"1BYQ A=9-236"
"P08107"	"1HJO A=3-382"
"Q9HC52"	"3I91 A/B=8-61"
"Q7LBR1"	"3EAB G/H/I/J/K/L=148-197"
"Q9HC16"	"2JYW A=198-384"
"P52292"	"1EFX C=204-212"
"P28749"	"1H28 E/F=653-663"
"Q12906"	"2L33 A=521-600"
"P01106"	"1A93 A=406-434"
"Q14524"	"2KBI A=1773-1865"
"P55854"	"1U4A A=14-92"
"P02795"	"1MHU A=31-61"
"P70399"	"1SSF A=1463-1617"
"P50402"	"1JEI A=2-54"
"P01579"	"1EKU A/B=26-161"
"P25454"	"1SZP A/B/C/D/E/F=81-400"
"Q99741"	"2CCH E/F=89-100"
"Q9UGI0"	"3ZRH A=245-697"
"P00514"	"1APK A=2-380"
"O43566"	"2JNU A=56-207"
"Q09028"	"2XU7 A/B=1-425"
"Q99933"	"1HX1 B=222-334"
"Q60793"	"2WBS A=395-483"
"Q99523"	"3F6K A=78-756"
"Q96CS3"	"2DAM A=3-56"
"Q9UBT2"	"1Y8Q B/D=1-640"
"Q60838"	"3ML6 A/B/C/D/E/F=417-510"
"P17844"	"3FE2 A/B=68-307"
"P09913"	"4G1T A/B=1-472"
"Q13438"	"3AIH A/B=108-229"
"Q15120"	"1Y8N A=9-406"
"P05412"	"1A02 J=254-308"
"Q9UGP5"	"1NZP A=242-327"
"Q8WV16"	"3I8C B=124-136"
"P40337"	"1LM8 V=54-213"
"Q96KQ7"	"2O8J A/B/C/D=913-1193"
"Q15223"	"3ALP A/B=30-335"
"Q92859"	"1X5F A=429-535"
"P32246"	"1Y5D A=1-355"
"Q96L73"	"3OOI A=1852-2082"
"P04488"	"2GIY A/B=213-390"
"P25942"	"1CDF A=24-144"
"Q04206"	"1NFI A/C=20-320"
"Q6W2J9"	"3BIM I/J/K/L/M/N/O/P=498-514"
"P52333"	"1YVJ A=814-1103"
"O75771"	"2KZ3 A=1-83"
"P62820"	"2FOL A=6-176"
"Q16236"	"2FLU P=69-84"
"P50542"	"1FCH A/B=272-639"
"P61077"	"1X23 A/B/C/D=1-147"
"Q07955"	"1X4A A=1-96"
"O18734"	"1J2M A=22-120"
"P35568"	"1IRS A=157-267"
"P78344"	"3D3M A/B=730-897"
"Q13330"	"4BKX A=162-335"
"Q9H9B1"	"2IGQ A/B=982-1266"
"Q5T4W7"	"2ASK A/B=108-220"
"P06731"	"1E07 A=35-676"
"Q16186"	"2KQZ A=253-407"
"P00734"	"1A2C H=364-622, L=328-363"
"P53004"	"2H63 A/B/C/D=7-296"
"O75581"	"3S2K A/B=630-1246"
"A8MYU2"	"4HPF A/B=330-1063"
"Q9H334"	"2KIU A=462-548"
"Q14126"	"2YQG A=47-162"
"P40189"	"1BJ8 A=219-325"
"Q93009"	"1NB8 A/B=208-560"
"O43187"	"3MOP K/L/M/N=2-112"
"O95503"	"3GV6 A=8-65"
"Q15303"	"2AHX A/B=26-641"
"P42224-1"	"1BF5 A=136-710"
"P04062"	"1OGS A/B=40-536"
"P08833"	"1ZT3 A=172-251"
"P24863"	"3RGF B=1-283"
"Q9NTG7"	"3GLR A=118-399"
"Q15418"	"2WNT A/B=413-719"
"P01584"	"1HIB A=117-269"
"P07948"	"1W1F A=61-123"
"P06276"	"1EHO A=30-560"
"Q05086"	"1C4Z A/B/C=518-875"
"Q9BYF1"	"1R42 A=1-615"
"Q13404"	"2A4D A=8-147"
"P20700"	"2KPW A=439-549"
"P61970"	"1GY5 A/B=1-127"
"O60566"	"2WVI A=57-220"
"P78347"	"2D9B A=102-197"
"D3W0D1"	"4IOP B=63-207"
"P01574"	"1AU1 A/B=22-187"
"P62937"	"1AK4 A/B=2-164"
"P26927"	"2ASU A=465-483, B=484-711"
"Q13137"	"3VVV A=21-141"
"P01563"	"1ITF A=24-188"
"Q99543"	"2M2E A=551-621"
"Q13627"	"2VX3 A/B/C/D=127-485"
"O00257"	"2K28 A=8-65"
"Q9NR31"	"2GAO A/B=10-198"
"Q13469"	"1A02 N=396-678"
"P15692"	"1BJ1 V/W=34-135"
"P01375"	"1A8M A/B/C=77-233"
"P19784"	"3E3B X=1-334"
"Q9H6P5"	"2A8I A/B=1-420"
"Q495M9"	"2L7T A=370-380"
"Q8N7H5"	"4M6T A=170-250"
"Q9Y235"	"2NYT A/B/C/D=41-224"
"P42262"	"2WJW A=25-412"
"O14810"	"3RK3 E=28-83"
"Q12809"	"1BYW A=26-135"
"P52294"	"2JDQ A/B=66-512"
"P02829"	"1A4H A=1-220"
"P11207"	"2B5L C/D=1-222"
"Q13555"	"2UX0 A/B/C/D/E/F=426-556"
"P60953"	"1A4R A/B=1-191"
"Q8WXF1"	"3SDE A=61-320"
"Q9IH62"	"2VSM A=188-602"
"Q9Y4D1"	"2J1D G=596-1078"
"P54253"	"1OA8 A/B/C/D=563-693"
"P32780"	"1PFJ A=1-108"
"Q96AP0"	"2I46 A/B=90-250"
"P50570"	"2YS1 A=520-625"
"P08670"	"1GK4 A/B/C/D/E/F=328-411"
"O94907"	"3S2K C=178-266"
"P31948"	"1ELR A=223-352"
"Q13888"	"1Z60 A=328-386"
"P10515"	"1FYC A=214-315"
"Q8WYQ5"	"1X47 A=502-586"
"P50281"	"1BQQ M=114-287"
"P61088"	"1J7D B=1-152"
"Q04637"	"1LJ2 C/D=172-199"
"Q86WV6"	"4EF4 A/B=139-379"
"Q5T6F0"	"3I7P B=45-57"
"O43719"	"2DIT A=256-354"
"P34021"	"1R0N B=256-364"
"P31947"	"1YWT A/B=1-248"
"P41597"	"1KAD A=1-343"
"P53350"	"1Q4K A/B/C=345-603"
"P60842"	"2G9N A/B=20-236"
"P02775"	"1F9P A=44-128"
"Q6ZW49"	"3SQD A/B=860-1069"
"P62991"	"3AI5 A=1-74"
"P01588"	"1BUY A=28-193"
"P51681"	"1ND8 A=1-352"
"Q14999"	"2JNG A=360-460"
"P52272"	"2DGV A=652-729"
"P41235"	"1PZL A=142-378"
"Q96BD5"	"2PUY A/B=486-543"
"O15455"	"1ZIW A=27-700"
"O95931"	"2K1B A=7-62"
"P32245"	"2IQP A=29-321"
"Q9H9E3"	"3HR0 A/B=525-785"
"Q12972"	"3V4Y B/D/F/H=158-216"
"Q99062"	"1AZ7 A=125-331"
"P06396"	"1C0F S=53-176"
"Q7RTN6"	"1UPK B=420-431"
"P13726"	"1AHW C/F=33-251"
"Q9Y4K3"	"1LB4 A=348-504"
"P41159"	"1AX8 A=22-167"
"P31785"	"1ILL G=57-248"
"P63005"	"1UUJ A/B/C/D=1-86"
"P51531"	"2DAT A=1377-1504"
"O14964"	"2D3G P=257-277"
"P29473"	"1D0C A/B=39-482"
"P00491"	"1M73 E=2-289"
"P50613"	"1LG3 A=1-307"
"Q9UMN6"	"3UVM B=2508-2517"
"Q14141"	"2QAG B=1-427"
"Q96QF0"	"4LHX C/D/E/F=173-248"
"P09038"	"1BAS A=135-288"
"Q15633"	"2CPN A=150-225"
"O15047"	"3S8S A=89-197"
"O43665"	"2DLR A=23-158"
"Q99P58"	"2IEY A/B=1-193"
"Q9BQA1"	"4GQB B=2-342"
"Q96EY1"	"2CTT A=213-303"
"P00439"	"1DMW A=118-424"
"P49789"	"1FHI A=1-147"
"P53041"	"1A17 A=16-181"
"Q8WXD9"	"3SEI A/B=470-605"
"O15379"	"4A69 A/B=1-376"
"O75822"	"2KRB B=45-55"
"P30622"	"2CP5 A=1-128"
"Q6UVW9"	"4IOP A=46-174"
"P06400"	"1AD6 A=378-562"
"P11172"	"2EAW A/B=190-480"
"P02794"	"1FHA A=1-183"
"Q8NHZ8"	"3HYM A/C/E/G/I/K=1-29"
"Q9UKL0"	"2IW5 B=286-482"
"Q14116"	"1J0S A=37-193"
"P17096"	"2EZD A=51-75"
"O00408"	"1Z1L A=578-919"
"P68198"	"3J39 m=77-128"
"Q9UJX3"	"3FFL A/B/C/D=35-181"
"P60605"	"3FSH A/B=1-165"
"P97798"	"4BQ6 A/B=883-1134"
"P61024"	"1BUH B=1-79"
"P19447"	"4ERN A=494-782"
"P20823"	"1IC8 A/B=85-278"
"Q13216"	"4A11 B=1-396"
"P14618"	"1T5A A/B/C/D=1-531"
"P37840"	"1XQ8 A=1-140"
"P20711"	"3RBF A/B=1-480"
"P81122"	"3BU3 B=620-634"
"P27487"	"1J2E A/B=33-766"
"P01903"	"1A6A A=30-205"
"Q9Y2W6"	"2DIQ A=329-425"
"Q14457"	"2P1L B/D/F/H=107-135"
"O75460"	"2HZ6 A=24-390"
"P53779"	"1JNK A=1-423"
"P00488"	"1EVU A/B=2-732"
"Q86U42"	"3B4D A=167-254"
"Q13075"	"2VM5 A=141-244"
"P01133"	"1IVO C/D=971-1023"
"P49792"	"1RRP B/D=1171-1304"
"P12830"	"1O6S B=156-255"
"O88384"	"1GL2 C=140-200"
"P84090"	"1W9G A/B=1-104"
"P23497"	"1H5P A=595-684"
"Q00496"	"1T3A A/B=2-422"
"Q92973"	"1QBK B=9-898"
"Q07120"	"2KMK A=312-393"
"Q13451"	"1KT0 A=1-457"
"P68466"	"2K36 A=1-149"
"Q9Y613"	"3DAD A/B=1-339"
"Q13291"	"1D4T B=276-286"
"P21741"	"1MKC A=84-126"
"O75531"	"1CI4 A/B=1-89"
"O14744"	"4GQB A=1-637"
"P07830"	"1C0F A=2-376"
"Q7Z3K3"	"2E72 A=370-405"
"Q9BZI7"	"1UW4 A/C=50-140"
"P35658"	"2OIT A=1-434"
"Q62120"	"2HDX G/H/I/J/K/L=810-820"
"Q8IYH5"	"2FC7 A=807-875"
"O15085"	"1HTJ F=281-490"
"Q13042"	"3HYM B/D/F/H/J/L=212-539"
"P21580"	"2EQE A=597-631"
"Q7Z589"	"1UTU A/B=1-108"
"Q9H444"	"3C3Q B=207-224"
"P20309"	"2CSA A=271-289"
"P20936"	"1WER A=714-1047"
"P80188"	"1DFV A/B=21-197"
"P04406"	"1U8F O/P/Q/R=1-335"
"P28908"	"1D01 G/H/I=576-583"
"O00585"	"2L4N A=24-134"
"O15151"	"2CR8 A=300-339"
"Q9UM73"	"2KUP B=1571-1589"
"P49418"	"1KY7 P=322-331"
"P27694"	"1EWI A=1-114"
"Q9Y5S9"	"1P27 B/D=50-155"
"P48061"	"1A15 A/B=22-88"
"Q14527"	"2L1I A=51-171"
"Q9UKG1"	"2EJ8 A/B=492-644"
"Q9H063"	"3NR5 A=1-205"
"P29323"	"1B4F A/B/C/D/E/F/G/H=910-985"
"Q777A4"	"1CZY D/E=204-210"
"P21549"	"1H0C A=1-392"
"Q9BYG3"	"2AFF B=226-269"
"Q62074"	"4DC2 A=231-595"
"Q96JK2"	"3I89 B=13-25"
"P84228"	"2V86 D/E=2-10"
"Q9BX63"	"1T29 B=985-998"
"P49959"	"3T1I A/B/C/D=1-411"
"P35609"	"1H8B A=823-894"
"P49458"	"1E8O A/C=2-86"
"P52434"	"2F3I A=1-150"
"P60709"	"3BYH A=2-375"
"P15927"	"1DPU A=172-270"
"P60953-1"	"1A4R A/B=1-191"
"Q16629"	"2HVZ A=12-98"
"P55210"	"1F1J A/B=2-303"
"P09619"	"1GQ5 A=1102-1106"
"O95630"	"2XZE A/B=1-146"
"Q01082"	"1AA2 A=173-280"
"Q9UKV5"	"2EJS A=452-502"
"Q02241"	"3VHX B/D/F/H=794-911"
"P55072"	"3EBB E/F/G/H=797-806"
"P05067"	"1AAP A/B=287-344"
"Q16760"	"1R79 A=216-286"
"Q8Y6A8"	"1XEU A=34-296"
"Q99683"	"2CLQ A/B=659-951"
"O00401"	"2FF3 C=451-465"
"Q6ICR9"	"4I0P A/E=39-226"
"Q13077"	"3M0D C=181-244"
"Q9H0H5"	"2OVJ A=348-546"
"P0C6U8"	"1P76 A=3241-3541, B=4225-4231"
"Q92843"	"1MK3 A=2-171"
"P52564"	"2Y8O B=4-17"
"P25686"	"2LGW A=1-91"
"Q07889"	"1AWE A=422-551"
"Q06455"	"1WQ6 A/B=335-403"
"P02768"	"1AO6 A/B=25-609"
"O15409"	"2A07 F/G/H/I/J/K=503-594"
"Q96CB9"	"4FP9 A/C/D/F=26-384"
"P62834"	"1C1Y A=1-167"
"Q9GZM8"	"2V66 B/C/D/E=58-168"
"Q8IWE5"	"3CXB B=773-884"
"P32927"	"1C8P A=338-438"
"Q53EZ4"	"3E1R A/B=160-217"
"P38862"	"2LI5 B=601-630"
"Q5JVF3"	"3T5X A=201-399"
"P30281"	"3G33 B/D=1-292"
"Q9Y468"	"1OYX A/B/C=197-527"
"Q8R5A0"	"3QWV A=1-433"
"P02340"	"1HU8 A/B/C=96-281"
"P08069"	"1IGR A=31-492"
"P01112"	"121P A=1-166"
"P22626"	"1X4B A=1-103"
"Q9HD67"	"2LW9 A/B=883-933"
"P37840-1"	"1XQ8 A=1-140"
"O14931"	"3NOI A/B=18-130"
"Q03555"	"1IHC A=1-201"
"Q08116"	"2BV1 A/B=63-205"
"Q99759"	"2C60 A=37-124"
"P29350"	"1FPR A=243-526"
"P12755"	"1MR1 C/D=219-313"
"P62993"	"1AZE A=1-56"
"Q13191"	"2AK5 D=904-911"
"P43686"	"2DVW B=337-418"
"P78380"	"1YPO A/B/C/D/E/F/G/H=142-272"
"O00180"	"3UKM A/B/C/D=19-288"
"P17542"	"2YPA A=180-253"
"Q9UNN8"	"1L8J A=18-210"
"P30305"	"1CWR A=370-580"
"P11717"	"1E6F A/B=1508-1650"
"Q9Y3Z3"	"2E8O A=23-118"
"P12004"	"1AXC A/C/E=1-261"
"O75051"	"3Q3J A=1490-1600"
"P30260"	"3T1N C/D=821-824"
"P02545"	"1IFR A=435-552"
"P89884"	"2ABO A=1-136"
"Q92556"	"2RQR A=697-722"
"Q7L576"	"3P8C A=1-1253"
"Q92585"	"2F8X M=13-74"
"P00489"	"1A8I A=2-843"
"P02786"	"1CX8 A/B/C/D/E/F/G/H=122-760"
"P47813"	"1D7Q A=2-144"
"P21333"	"2AAV A=1863-1955"
"Q7KZF4"	"2E6N A=704-800"
"Q7Z6Z7"	"2EKK A=1317-1356"
"P51610"	"4GO6 A/C=360-402, B/D=1806-2035"
"O94992"	"2GD7 A/B=257-359"
"P51795"	"2J9L A/B/C/D/E/F=571-746"
"P48061"	"1A15 A/B=22-88"
"O75962"	"1NTY A=1284-1594"
"P42768"	"1CEE B=230-288"
"P14619"	"1ZXA A/B=2-58"
"Q61033"	"2V0X A/B=459-693"
"P03120"	"1BY9 A=285-365"
"P19793"	"1BY4 A/B/C/D=129-209"
"P03951"	"1XX9 A/B=388-625"
"Q5TAQ9"	"3I8E C/D=153-165"
"O75175"	"4C0D C=607-753"
"P36894"	"1ES7 B/D=55-143"
"P83916"	"2FMM A/B/C/D=104-175"
"Q8IX07"	"2XU7 C/D=1-15"
"Q8ML92"	"3BS5 A=1-106"
"Q61026"	"1L2I C/D=686-698"
"P05771"	"2I0E A/B=321-661"
"P29994"	"3T8S A/B=7-602"
"O95999"	"2MB9 A=1-115"
"Q13882"	"1RJA A=75-174"
"Q9BRT9"	"2E9X D/H=1-223"
"Q03518"	"1JJ7 A=549-808"
"P07858"	"1CSB A/D=80-126, B/E=129-333"
"Q14192"	"1X4K A=98-159"
"O14836"	"1XU1 R/S/T=68-109"
"Q04771"	"3H9R A=172-499"
"P13569"	"1NBD A=425-638"
"P84243"	"2L43 A=2-14"
"Q8WTS6"	"1H3I A/B=52-344"
"Q9BYX4"	"2RQB A=896-1025"
"Q8WTT0"	"3WBP A/B=83-210"
"P03122"	"1DBD A/B=311-410"
"P10600"	"1KTZ A=301-412"
"Q07666"	"2XA6 A/B=97-135"
"Q14676"	"2ADO A/B=1891-2086"
"P28845"	"1XU7 A/B/C/D=24-292"
"P41832"	"1UX4 A/B=1352-1765"
"Q96EB6"	"4I5I A/B=241-516"
"Q15596"	"1GWQ C/D=688-696"
"P07320"	"1H4A X=2-174"
"P21796"	"2JK4 A=2-283"
"P35398"	"1N83 A=304-556"
"Q06330"	"2F8X C=23-449"
"Q13772"	"1T5Z B=322-336"
"P12956"	"1JEQ A=1-609"
"Q16637"	"1G5V A=82-169"
"P20827"	"3CZU B=17-171"
"Q13576"	"3IEZ A/B=1476-1571"
"Q00653"	"1A3Q A/B=37-327"
"O15357"	"2K4P A=1194-1258"
"P03230"	"1CZY D/E=204-210"
"Q9Y5N6"	"3M03 A/B/C=94-187"
"Q00403"	"1C9B A/E/I/M/Q=110-316"
"Q96RS0"	"3EGI A/B/C/D=653-853"
"Q9H0F6"	"4EMO A/B/C/D=1-127"
"Q92797"	"3O2Q A/D=30-360"
"P46109"	"2BZX A=237-303"
"P11388"	"1LWZ A=431-1200"
"Q13541"	"1WKW B=47-66"
"P48551"	"1N6U A=28-237"
"Q12778"	"3CO6 C=151-249"
"Q15185"	"1EJF A/B=1-125"
"P27797"	"2CLR C/F=1-10"
"Q16666"	"2OQ0 A/B/C/D=192-393"
"P27037"	"3Q4T A/B=191-488"
"Q92945"	"2HH2 A=423-525"
"Q13586"	"2K60 A=58-201"
"P67870"	"1DS5 E/F/G/H=181-203"
"Q06643"	"4MXW B/D/Y/Z=86-244"
"P42568"	"2LM0 A=490-568"
"P09382"	"1GZW A/B=2-134"
"Q15910"	"2C6V A=508-734"
"P17301"	"1AOX A/B=169-366"
"P29476-3"	"1B8Q A=13-133"
"Q15382"	"1XTQ A=1-169"
"P04908"	"2CV5 C/G=1-130"
"P01233"	"1HCN B=21-165"
"P04637"	"1A1U A/C=324-358"
"P01135"	"1GK5 A=83-89"
"P23258"	"1Z5V A=1-449"
"P19525"	"1QU6 A=1-170"
"O00311"	"4F99 A=37-574"
"Q96LI5"	"3NGN A=158-555"
"Q53S69"	"2K03 B/D=1-38"
"P62487"	"2C35 B/D/F/H=1-172"
"Q13547"	"1TYI A=1-482"
"Q9Y6D5"	"3L8N A=635-836"
"Q9NZI8"	"3KRM A/B/C=404-566"
"P25685"	"1HDJ A=1-76"
"P62990"	"4LJO B=1-76"
"O60506"	"2DGU A=334-423"
"P62136"	"3E7A A/B=7-300"
"P09486"	"1BMO A/B=71-303"
"Q14114"	"3A7Q B=42-83"
"P01009"	"1ATU A=45-418"
"Q64364"	"1HN3 A=1-37"
"P51946"	"1JKW A=1-323"
"Q15797"	"1KHU A/B/C/D=248-465"
"P10912"	"1A22 B=19-256"
"O14737"	"1YYB A=2-26"
"Q07812"	"1F16 A=1-192"
"Q13155"	"4DPG I/J/K/L=1-48"
"P52799"	"2HLE B=28-165"
"P15917"	"1J7N A/B=34-809"
"P43246"	"2O8B A=1-934"
"O15105"	"2DJY B=203-217"
"P09341"	"1MGS A/B=35-107"
"P78423"	"1B2T A=25-100"
"Q96D31"	"2MAK B/D=272-292"
"P68431"	"1CS9 A=131-136"
"P56199"	"1PT6 A/B=166-366"
"P12643"	"1ES7 A/C=283-396"
"P46013"	"1R21 A=1-120"
"Q12888"	"1GZH B/D=1724-1972"
"Q9NRR4"	"2KHX A=1259-1337"
"P46527"	"1H27 E=25-35"
"O00499"	"1MUZ A=513-593"
"O14672"	"1M1I A=207-453"
"Q7L804"	"2GZD C/D=410-512"
"Q5S007"	"2ZEJ A/B=1333-1516"
"P01374"	"1TNR A=62-205"
"O43353"	"4C8B A/B=8-317"
"P04150"	"1M2Z A/D=521-777"
"P53999"	"1PCF A/B/C/D/E/F/G/H=63-127"
"Q9UQM7"	"2VZ6 A/B=13-302"
"Q9UIV1"	"2D5R A=11-262"
"Q92844"	"1KZZ B=177-187"
"O00422"	"2HDE A=6-149"
"P61812"	"1TFG A=303-414"
"Q9Y2R2"	"2P6X A/B=1-302"
"P21675"	"1EQF A=1359-1638"
"P62316"	"1B34 B=1-118"
"Q99081"	"2KNH B=11-28"
"P05091"	"1CW3 A/B/C/D/E/F/G/H=24-517"
"P22087"	"2IPX A=83-315"
"Q9H9Q4"	"2QM4 A/B/C/D=1-233"
"P15924"	"1LM5 A/B=2609-2822"
"Q75RY0"	"2KBI A=1773-1865"
"O15123"	"1Z3S A/B=281-496"
"Q14242"	"1G1S C/D=42-60"
"P12081"	"1X59 A=1-60"
"P40344"	"2DYT A=1-310"
"P10275"	"1E3G A=657-919"
"Q8WXF7"	"3Q5D A=1-447"
"Q8NBP7"	"2P4E A/P=1-692"
"Q9UG22"	"2XTM A/B=1-234"
"Q14005"	"1I16 A=1203-1332"
"P55087"	"3GD8 A=32-254"
"Q8WXD5"	"1Y96 A/C=1-86"
"P16092"	"2CKN A=25-119"
"Q99814"	"1P97 A=240-350"
"Q06830"	"2RII A/B=1-199"
"O43318"	"2EVA A=31-303"
"P01308"	"1A7F A=90-110, B=25-53"
"P35070"	"1IOX A=62-111"
"Q9ULZ3"	"1UCP A=1-91"
"Q9UQB8"	"1WDZ A/B=1-228"
"Q8ZNR3"	"2QYU A=163-782"
"Q9NZN8"	"4C0D B=344-540"
"O60318"	"4DHX A/D=1163-1235"
"Q9H0W5"	"4LG6 B=494-510"
"Q13620"	"2DO7 A=826-913"
"P01008"	"1ANT I/L=33-464"
"P62753"	"3J3A G=1-249"
"P06748"	"2LLH A=225-294"
"P02749"	"1C1Z A=20-345"
"P48023"	"1BZI B/C=1-281"
"Q15389"	"4EPU A/B=282-497"
"P02787"	"1A8E A=22-350"
"P49768"	"2KR6 A=292-467"
"P61081"	"1TT5 E/F=1-26"
"P08228"	"3GTT A/B/C/D/E/F=2-154"
"P01594"	"1B0W A/B/C=1-108"
"P05109"	"1MR8 A/B=1-93"
"Q02078"	"1C7U A/B=2-86"
"P10147"	"1B50 A/B=24-92"
"P09651"	"1HA1 A=1-184"
"P22681"	"1B47 A/B/C=47-350"
"Q02790"	"1N1A A/B=2-139"
"P04085"	"3MJK A/B/E/F/X/Y=21-181"
"Q99259"	"2OKJ A/B=93-594"
"P02766"	"1BM7 A/B=21-147"
"P15153"	"1DS6 A=1-192"
"O60494"	"3KQ4 B/D/F=932-1388"
"Q13114"	"1FLK A/B=341-568"
"Q7Z6A9"	"2AW2 A/X=26-137"
"P14174"	"1CA7 A/B/C=2-115"
"Q9BUI4"	"2XUB A=1-534"
"Q62296"	"3JUA A/C/E/G=210-427"
"Q6UYC3"	"1IFR A=435-552"
"P36897"	"1B6C B/D/F/H=162-503"
"P62161"	"1G4Y R=2-149"
"O88838"	"2AFJ A=12-224"
"P61978"	"1J5K A=379-463"
"O75376"	"2EQR A=433-486"
"P51825"	"2LM0 A=738-779"
"Q07817"	"1BXL A=1-209"
"P26367"	"2CUE A=211-277"
"Q9NWX6"	"3OTB A/B=30-298"
"P08362"	"2RKC A=156-617"
"P45984"	"3E7O A/B=7-362"
"P17693"	"1YDP A=26-300"
"Q9Y376"	"1UPK A=1-341"
"P26718"	"1HYR A/B=80-216"
"Q9Y678"	"1R4X A=608-874"
"Q13105"	"2LVR A=500-528"
"Q07820"	"2KBW A=163-326"
"Q9H9A7"	"3MXN A=473-625"
"P55211-1"	"1JXQ A/B/C/D=140-416"
"P09622"	"1ZMC A/B/C/D/E/F/G/H=36-509"
"O95727"	"3RBG A/B/C/D=18-117"
"O14862"	"3RN2 A/B=144-343"
"P42574"	"1CP3 A/B=1-277"
"Q9BVC4"	"4JSN C/D=1-326"
"P21980"	"1FAU A=1-687"
"P00451"	"1CFG A=2322-2343"
"Q15750"	"2J4O A=1-401"
"P49841"	"1GNG A/B=27-393"
"Q9Y6D9"	"1GO4 E/F/G/H=485-584"
"P20339"	"1N6H A=15-184"
"Q15554"	"1H6P A/B=43-245"
"P23381"	"1O5T A=94-471"
"P30304"	"1C25 A=337-496"
"P78352"	"1KEF A=62-154"
"P19838"	"1MDI B=55-67"
"P17535"	"3U86 B=27-39"
"P07949"	"1XPD A=709-1013"
"Q16288"	"1WWC A=297-422"
"P51149"	"1T91 A/B/C/D=1-207"
"Q02763"	"1FVR A/B=808-1124"
"Q9H171"	"2L4M A=103-166"
"Q9NZ45"	"2QD0 A/B=32-108"
"P02741"	"1B09 A/B/C/D/E=19-224"
"P24394"	"1IAR B=27-232"
"Q9BV86"	"2EX4 A/B=2-223"
"Q13263"	"1FP0 A=619-679"
"P51532"	"2GRC A=1448-1575"
"P26447"	"1M31 A/B=1-101"
"Q92783"	"2L0A A=207-267"
"Q8WUF5"	"2VGE A=607-828"
"P08238"	"1QZ2 G/H=720-724"
"P43351"	"1H2I A/B/C/D/E/F/G/H/I/J/K/L/M/N/O/P/Q/R/S/T/U/V=1-209"
"O89100"	"1H3H A=263-322"
"P21731"	"1LBN A=100-265"
"Q16873"	"2PNO A/B/C/D/E/F/G/H/I/J/K/L=1-150"
"Q05329"	"1ES0 B=207-220"
"Q9H900"	"3IF8 A=1-334, B=335-591"
"P48546"	"2QKH A=24-138"
"Q15796"	"1DEV A/C=261-456"
"P51693"	"3PMR A/B=285-499"
"P36873"	"1IT6 A/B=1-323"
"O00763"	"2DN8 A=885-971"
"Q13158"	"1A1W A=1-83"
"P01138"	"1SG1 A/B=122-241"
"P02533"	"3TNU A=295-422"
"Q15605"	"2LDY A=157-330"
"Q12933"	"1CA4 A/B/C/D/E/F=334-501"
"Q9NS23"	"2KZU B=-"
"P40259"	"3KG5 A/B=26-159"
"P54274"	"1BA5 A=378-430"
"Q92993"	"2EKO A=5-78"
"Q99616"	"2RA4 A/B=24-98"
"P15151"	"1DGI R=28-329"
"P19419"	"1DUX C/F=1-94"
"P02452"	"1Q7D A/B/C=914-930"
"Q9H816"	"3BUA E/F/G/H=496-530"
"P51671"	"1EOT A=24-97"
"Q8NCD3"	"3R45 C=1-80"
"Q86YC2"	"2W18 A=835-1186"
"O15169"	"1DK8 A=74-220"
"O14625"	"1RJT A=22-94"
"Q9NZU7"	"2K7B A=219-294"
"Q12791"	"2K44 A=257-284"
"Q16790"	"2HKF P=83-91"
