"P07003"	"3EY9"
"P63228"	"2GMW"
"P0A7T7"	"1M5G"
"P77488"	"2O1S"
"P0A7B8"	"1E94"
"P03033"	"1JHC"
"P69797"	"1PDO"
"P08338"	"1CMA"
"P02339"	"1EQQ"
"P37346"	"1YIX"
"P77444"	"1C0N"
"P02428"	"1VT2"
"P10120"	"2FPO"
"P08867"	"3KZ5"
"P04379"	"2G6S"
"P12996"	"1R30"
"P00579"	"1SIG"
"P37175"	"2DXA"
"P0ABB4"	"1D8S"
"P25663"	"1OX8"
"P08186"	"1PDO"
"P0ABD5"	"2F9Y"
"P13030"	"1BBU"
"P77499"	"2D3W"
"P76256"	"1OKJ"
"P05702"	"3TCJ"
"P11555"	"2WCV"
"P18595"	"3TKA"
"P17114"	"1FWY"
"P10413"	"1SF8"
"P08177"	"1QZM"
"P25745"	"2DER"
"P0A8A0"	"1KON"
"P0A7Y4"	"1F21"
"P0AG59"	"1M5G"
"P28631"	"1A5T"
"P38506"	"3ZD8"
"P94739"	"1IHR"
"P0A6Q3"	"1MKA"
"P60785"	"3CB4"
"P00582"	"1D8Y"
"P76016"	"4LRX"
"P09373"	"1CM5"
"P45568"	"1JVS"
"P29464"	"2BND"
"P22523"	"1QHL"
"P45803"	"1HW7"
"P0A6D3"	"1EPS"
"P0AE82"	"4BIU"
"P52644"	"2KTS"
"P21501"	"3KCU"
"P06983"	"1AH5"
"P0AB71"	"1B57"
"P0ADE4"	"2LY3"
"P10121"	"1FTS"
"P0A998"	"1EUM"
"P60624"	"1ML5"
"P37146"	"3N37"
"P02437"	"1VS6"
"P23874"	"2WIU"
"P0A6Y5"	"1HW7"
"P43528"	"1TII"
"P0ADZ7"	"2RDD"
"P37617"	"1MWY"
"P10446"	"1NEK"
"P0A6D0"	"1AOY"
"P0AB52"	"1JX7"
"P0A912"	"1OAP"
"P29014"	"2FLO"
"P24184"	"1KQF"
"P0A7D4"	"1ADE"
"P0A6H5"	"1DO0"
"P02435"	"1P85"
"P0A8H8"	"1LV3"
"P0AF03"	"1DI6"
"P0ABA4"	"1ABV"
"P02916"	"2R6G"
"P09184"	"1CW0"
"P0AA37"	"2I82"
"P77743"	"2PJU"
"P0A881"	"1CO0"
"P00959"	"1F4L"
"P0A6I9"	"1N3B"
"Q03708"	"1AYI"
"P0AEE8"	"2G1P"
"P32157"	"1O65"
"P0AES0"	"2IO7"
"P0AFZ3"	"1OX8"
"Q8VPC3"	"3CI0"
"P0A729"	"4JHC"
"P39179"	"1NRK"
"P0ADE8"	"1NRK"
"P68206"	"1RYK"
"P0AGL2"	"2UYJ"
"P76458"	"1K6D"
"P0A6I6"	"1B6T"
"P0AEZ7"	"1E0G"
"P0AFI0"	"2Q27"
"Q9R8E4"	"3GCG"
"P00509"	"1AAM"
"P10956"	"3EZH"
"P06974"	"1F4V"
"P31550"	"2QRY"
"P0A6Z6"	"1Q5V"
"P0AEN8"	"2WCV"
"P0A720"	"1E9F"
"P0A890"	"1DCJ"
"P69488"	"1NAQ"
"P61517"	"1I6O"
"P0A6L9"	"1FPO"
"P0ADX9"	"2FPO"
"Q8LTE0"	"3AGP"
"P32718"	"3HTV"
"P00274"	"1OAZ"
"P33650"	"3HYR"
"P0AEP7"	"2PAN"
"P30146"	"2PAN"
"P0A6U5"	"1JSX"
"P0ACC7"	"1FWY"
"P0ABZ6"	"1M5Y"
"P66817"	"2YVA"
"P0ABI8"	"1FFT"
"P0AC55"	"1GNK"
"P11165"	"2AVU"
"P60906"	"1HTT"
"P0A825"	"1DFO"
"P77243"	"1SZQ"
"P15048"	"2FQ1"
"P36929"	"1J4F"
"P45532"	"2D1P"
"P0A9V1"	"4P31"
"P00646"	"1E44"
"P0A9R4"	"1I7H"
"P03623"	"1IFP"
"P38684"	"1ZGZ"
"P27831"	"1MC3"
"P76204"	"3TLQ"
"P34086"	"1OR7"
"P0ACJ0"	"2GQQ"
"P0ABJ1"	"1CYW"
"P18400"	"1CYW"
"P00855"	"1C17"
"P62617"	"1GX1"
"P26615"	"2IDB"
"P26646"	"1O89"
"P0ABA0"	"1B9U"
"P37690"	"4BH5"
"P45530"	"2D1P"
"P0AEP3"	"2E3D"
"P0A8P1"	"2CXA"
"P68183"	"2R6G"
"P04482"	"2NO8"
"P64467"	"2JQT"
"P05050"	"2FD8"
"P0AEX9"	"1A7L"
"P0A9G6"	"1IGW"
"P30846"	"4B09"
"P10377"	"3HWO"
"P35340"	"1FL2"
"P0AFQ7"	"1YIX"
"P0ACS5"	"1Q08"
"P37182"	"1CFZ"
"P31547"	"3DHW"
"P0A9F1"	"2H09"
"P0AB83"	"2ABK"
"P0AG63"	"1EG0"
"P36546"	"1ORM"
"Q8KLS0"	"3KYI"
"Q47152"	"4ER8"
"P32697"	"1N8N"
"P06986"	"1FG3"
"P77806"	"1U08"
"P22106"	"1CT9"
"P0A877"	"1V7Y"
"P75691"	"1UUF"
"P0A754"	"3EYW"
"P22256"	"1SF2"
"P39830"	"3FWZ"
"P0A9T4"	"1LQA"
"P69503"	"2DY0"
"P55135"	"1UWV"
"P13338"	"3TBI"
"P07008"	"2KC8"
"P36539"	"1R94"
"P0ACZ4"	"3F6C"
"P42190"	"1PDK"
"P0ABU5"	"1OY1"
"P36676"	"1Q08"
"P0A794"	"1HO1"
"P12998"	"1BS0"
"P15302"	"2C4N"
"P23887"	"1EUM"
"P0A7D1"	"2PTH"
"P37190"	"4A2C"
"P77214"	"1ZEQ"
"P0A8U6"	"1CMA"
"P0AEJ4"	"1BXD"
"P43675"	"2IO7"
"Q6EZC2"	"2IY9"
"P61175"	"1P85"
"P0AB46"	"2LRM"
"P0AER0"	"1FX8"
"P0AEV9"	"2E85"
"P10378"	"3RG2"
"P0A6D5"	"1NPD"
"P06980"	"1V4G"
"P0AC13"	"1AJ0"
"P26282"	"1AJ0"
"P0A6T1"	"3NBU"
"P07006"	"1CM2"
"P45548"	"1BF6"
"P75832"	"1LZW"
"P0A8U0"	"3FFV"
"P33928"	"1SR3"
"P00364"	"1KF6"
"P31434"	"1WE5"
"P0A862"	"1QXH"
"P23843"	"3TCF"
"P39272"	"1OJG"
"P0AEK4"	"1C14"
"P52097"	"1NI5"
"P13652"	"1AF2"
"P76045"	"2F1C"
"P0A9H9"	"1KMI"
"P0A731"	"1B93"
"P40679"	"3BMB"
"P00928"	"1V7Y"
"P08191"	"1KIU"
"P00581"	"1SKR"
"P76270"	"1VHM"
"P23882"	"1FMT"
"P24215"	"4EAC"
"P0AC65"	"1H75"
"P0A6R0"	"1EBL"
"Q9EZJ8"	"1KU2"
"P0A9Q1"	"1XHE"
"P0A9J6"	"1GQT"
"P08716"	"1MT0"
"P0A786"	"1ACM"
"P0A9J8"	"1ECM"
"P77241"	"2KGJ"
"P0A9S1"	"1RRM"
"P05804"	"3K46"
"P23857"	"2JTQ"
"P0A884"	"1AIQ"
"P76014"	"2BTD"
"P25520"	"2E3D"
"P62615"	"2WW4"
"P39168"	"3GWI"
"P0A6W9"	"1V4G"
"P0AD24"	"2JRX"
"P18273"	"4DAP"
"P02373"	"2VHP"
"P20356"	"1G8Y"
"P21865"	"2KSF"
"Q47143"	"1GHH"
"P33596"	"2A7Z"
"P0AF28"	"1A04"
"P76562"	"2ZPA"
"P76342"	"1XDQ"
"P05523"	"1K82"
"P0AFY8"	"1IU3"
"P37797"	"3J5S"
